Avg Weekday Trip OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday,Avg Weekday
Exit Station Two-Letter Code,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,PC,AN,ML,BE,
CL,49.5,49.0909090909091,15.8636363636364,17.9090909090909,76.9545454545455,33.4545454545455,77.7272727272727,77.5,78.5454545454545,110.954545454545,144.636363636364,30.7272727272727,77.1818181818182,90.1363636363636,110.818181818182,46.0909090909091,56.2727272727273,42.5909090909091,22.2727272727273,13.9090909090909,11.2272727272727,7.18181818181818,4.5,16.7727272727273,50.7727272727273,172.818181818182,128.5,178.772727272727,166.772727272727,69.5,79.1818181818182,25.4545454545455,29.5909090909091,78.2727272727273,5.22727272727273,26.9545454545455,65.7272727272727,3.86363636363636,18.5454545454545,6.90909090909091,6.27272727272727,17.3181818181818,8.63636363636364,22.4545454545455,12.2727272727273,36.0,6.36363636363636,30.1363636363636,46.1363636363636,49.3181818181818,2603.59090909091
SL,27.4090909090909,35.2272727272727,12.6818181818182,19.5454545454545,91.3636363636364,27.6818181818182,69.4545454545455,91.2727272727273,136.0,199.863636363636,195.363636363636,89.9545454545455,14.9090909090909,91.9545454545455,140.727272727273,78.8181818181818,59.7727272727273,98.5454545454545,17.4545454545455,16.2727272727273,12.1818181818182,3.45454545454545,4.68181818181818,14.2727272727273,28.1363636363636,352.272727272727,317.772727272727,314.090909090909,254.909090909091,92.2272727272727,67.8181818181818,23.5909090909091,46.2272727272727,93.9090909090909,4.95454545454545,31.4090909090909,102.954545454545,3.77272727272727,8.54545454545454,6.04545454545455,8.18181818181818,23.2272727272727,4.77272727272727,42.5909090909091,7.81818181818182,53.8181818181818,4.72727272727273,18.1363636363636,37.8181818181818,61.5454545454545,3560.13636363636
BF,16.0454545454545,22.3181818181818,8.90909090909091,11.7272727272727,70.7272727272727,14.7272727272727,44.0454545454545,66.0454545454545,97.7727272727273,140.409090909091,153.272727272727,92.2272727272727,93.4090909090909,19.2272727272727,71.9545454545455,51.4090909090909,51.5909090909091,66.1818181818182,15.2272727272727,3.13636363636364,9.13636363636364,1.63636363636364,1.90909090909091,9.13636363636364,23.2727272727273,270.772727272727,248.5,293.090909090909,209.318181818182,67.0,55.3181818181818,19.9545454545455,31.4545454545455,59.7272727272727,4.54545454545455,33.2272727272727,83.3181818181818,3.04545454545455,6.77272727272727,7.36363636363636,9.27272727272727,13.1363636363636,5.0,38.7727272727273,5.81818181818182,46.2727272727273,4.22727272727273,7.77272727272727,28.5454545454545,56.2272727272727,2763.90909090909
HY,24.0,38.4090909090909,14.8181818181818,12.0,73.1818181818182,18.9090909090909,44.6818181818182,71.1363636363636,79.0,87.4545454545455,163.318181818182,116.136363636364,142.454545454545,70.7727272727273,15.8181818181818,64.1818181818182,132.636363636364,152.772727272727,19.1818181818182,10.8636363636364,7.18181818181818,5.0,2.13636363636364,10.6363636363636,25.4090909090909,170.045454545455,132.454545454545,138.545454545455,114.909090909091,40.6818181818182,26.3636363636364,13.1818181818182,16.1818181818182,32.1363636363636,4.13636363636364,10.4545454545455,47.7272727272727,2.90909090909091,14.6818181818182,6.63636363636364,6.72727272727273,10.2272727272727,5.86363636363636,18.2272727272727,6.40909090909091,91.4090909090909,6.18181818181818,15.1818181818182,71.8636363636364,87.0909090909091,2492.31818181818
SH,11.2272727272727,15.5909090909091,3.04545454545455,2.90909090909091,39.3181818181818,7.68181818181818,28.5909090909091,38.0909090909091,53.6363636363636,60.0,66.6363636363636,44.0909090909091,67.2272727272727,45.9090909090909,53.2727272727273,7.5,53.4090909090909,70.0,7.22727272727273,4.31818181818182,6.13636363636364,1.63636363636364,0.681818181818182,3.09090909090909,11.5,132.909090909091,117.681818181818,88.3636363636364,93.4545454545455,27.6818181818182,32.2272727272727,4.81818181818182,10.4090909090909,23.3181818181818,3.13636363636364,12.9545454545455,25.1818181818182,0.181818181818182,4.86363636363636,2.90909090909091,1.95454545454545,5.95454545454545,3.22727272727273,15.9090909090909,5.81818181818182,70.0909090909091,0.909090909090909,4.81818181818182,35.0454545454545,55.4545454545455,1482.0
UC,11.4090909090909,16.8636363636364,7.63636363636364,8.59090909090909,79.7727272727273,9.18181818181818,29.0454545454545,62.4545454545455,81.0454545454545,56.4090909090909,58.3181818181818,61.1363636363636,67.5454545454545,61.0909090909091,131.318181818182,53.0909090909091,16.0,66.9090909090909,8.18181818181818,5.13636363636364,12.4090909090909,0.636363636363636,2.04545454545455,4.72727272727273,12.4545454545455,231.727272727273,179.772727272727,117.090909090909,106.409090909091,32.0909090909091,17.0,5.81818181818182,11.2272727272727,30.6818181818182,3.31818181818182,11.3181818181818,36.3181818181818,1.36363636363636,4.86363636363636,1.86363636363636,2.0,13.3181818181818,1.63636363636364,16.1818181818182,6.22727272727273,80.8636363636364,1.68181818181818,4.09090909090909,72.8636363636364,87.1363636363636,2000.27272727273
FM,10.2727272727273,17.1818181818182,8.45454545454546,14.0,78.5454545454545,10.1818181818182,30.5909090909091,60.1818181818182,82.1818181818182,59.6818181818182,56.6818181818182,41.3636363636364,99.5,71.0,154.727272727273,74.7727272727273,71.8636363636364,18.5,7.90909090909091,4.40909090909091,6.59090909090909,0.545454545454545,3.04545454545455,6.5,8.27272727272727,301.954545454545,190.818181818182,111.5,98.5454545454545,32.0,16.7272727272727,8.04545454545454,7.5,30.1818181818182,1.63636363636364,16.6363636363636,35.0454545454545,1.54545454545455,5.18181818181818,0.863636363636364,3.27272727272727,20.2272727272727,2.22727272727273,15.0454545454545,8.95454545454546,74.4545454545455,1.22727272727273,6.22727272727273,94.5909090909091,123.409090909091,2204.77272727273
CN,23.2727272727273,25.8636363636364,11.1363636363636,13.0,57.7727272727273,12.5909090909091,85.6818181818182,80.7272727272727,109.045454545455,16.9090909090909,27.7272727272727,24.2727272727273,22.3636363636364,12.9090909090909,19.3636363636364,6.77272727272727,6.40909090909091,9.04545454545454,25.0454545454545,66.6363636363636,153.090909090909,91.9090909090909,29.9090909090909,66.1363636363636,10.5909090909091,332.045454545455,269.818181818182,227.636363636364,212.954545454545,57.3636363636364,49.6818181818182,23.8181818181818,30.7727272727273,58.9545454545455,8.81818181818182,5.40909090909091,6.22727272727273,25.5909090909091,135.5,10.6818181818182,12.2727272727273,77.9090909090909,14.1818181818182,4.22727272727273,17.4545454545455,3.90909090909091,72.0454545454545,120.772727272727,9.40909090909091,9.40909090909091,2805.04545454545
PH,6.5,14.7272727272727,10.9545454545455,10.3181818181818,57.5909090909091,8.54545454545454,74.5454545454545,92.5,127.090909090909,7.36363636363636,12.4090909090909,14.1818181818182,11.1363636363636,4.22727272727273,11.0,4.72727272727273,4.63636363636364,5.36363636363636,67.3181818181818,11.2272727272727,61.2727272727273,28.2272727272727,19.5454545454545,65.0,9.86363636363636,530.681818181818,441.090909090909,213.272727272727,217.954545454545,63.9090909090909,35.9090909090909,24.1363636363636,18.1818181818182,38.8636363636364,8.77272727272727,2.04545454545455,4.27272727272727,14.0,47.3181818181818,9.36363636363636,9.45454545454546,107.318181818182,9.04545454545454,1.59090909090909,23.0454545454545,5.22727272727273,23.3181818181818,50.5909090909091,5.68181818181818,8.27272727272727,2653.59090909091
WC,19.0454545454545,17.1363636363636,11.8636363636364,12.9090909090909,73.0909090909091,7.45454545454545,78.8181818181818,112.318181818182,115.045454545455,18.3181818181818,17.6363636363636,10.0909090909091,12.6818181818182,7.90909090909091,9.36363636363636,5.72727272727273,10.6818181818182,6.09090909090909,170.363636363636,64.0,12.1363636363636,43.7727272727273,26.8636363636364,87.0,9.45454545454546,592.590909090909,453.409090909091,213.818181818182,201.136363636364,54.5454545454545,37.2272727272727,23.1818181818182,23.5,39.1363636363636,9.40909090909091,2.40909090909091,4.0,22.2727272727273,77.3181818181818,12.1363636363636,11.5909090909091,134.863636363636,9.31818181818182,1.40909090909091,19.3181818181818,3.81818181818182,29.9090909090909,78.6818181818182,5.90909090909091,8.72727272727273,3029.40909090909
